Daily Time,Age,Area Income,Daily Internet Usage,Ad Topic Line,City,Male,Country,Timestamp,Clicked on Ad
62.26,32,69481.85,172.83,Decentralized real-time circuit,Lisafort,1,Svalbard & Jan Mayen Islands,09-06-2016 21:43,0
41.73,31,61840.26,207.17,Optional full-range projection,West Angelabury,1,Singapore,16-01-2016 17:56,0
44.4,30,57877.15,172.83,Total 5thgeneration standardization,Reyesfurt,0,Guadeloupe,29-06-2016 10:50,0
59.88,28,56180.93,207.17,Balanced empowering success,New Michael,0,Zambia,21-06-2016 14:32,0
49.21,30,54324.73,201.58,Total 5thgeneration standardization,West Richard,0,Qatar,21-07-2016 10:54,1
51.3,26,51463.17,131.68,Focused multi-state workforce,Port Maria,0,Cameroon,15-05-2016 13:18,0
66.08,43,73538.09,136.4,Optimized upward-trending productivity,Port Jeffrey,1,Turkey,03-04-2016 21:13,1
36.08,26,74903.41,228.78,Programmable uniform website,East Kevinbury,1,French Guiana,11-03-2016 06:49,0
46.14,33,43974.49,196.77,Customizable tangible hierarchy,Lake Annashire,1,Vanuatu,24-03-2016 06:36,0
51.65,51,74535.94,188.56,Function-based incremental standardization,Edwardmouth,0,Cameroon,31-01-2016 05:12,0
47.64,29,53431.35,200.71,Digitized content-based circuit,East Carlos,0,Burundi,09-03-2016 00:41,0
65.07,34,34191.23,187.09,Team-oriented transitional methodology,Port Robin,1,Equatorial Guinea,05-04-2016 18:02,1
55.6,24,52252.91,167.22,Configurable disintermediate throughput,North Daniel,0,Guinea,11-06-2016 06:47,1
62.26,25,50671.6,138.71,Intuitive radical forecast,Nelsonfurt,1,Hong Kong,18-03-2016 13:00,0
78.84,27,69646.35,239.32,Front-line bandwidth-monitored capacity,Johnstad,0,Spain,21-05-2016 01:36,0
56.39,40,40468.53,140.46,Inverse zero-defect capability,North Randy,0,Uganda,03-01-2016 16:01,1
54.43,39,56180.93,124.44,Intuitive exuding service-desk,Vanessaview,0,Saint Pierre and Miquelon,03-01-2016 07:13,0
60.23,43,31092.93,234.26,Optimized upward-trending productivity,Yangside,1,Northern Mariana Islands,03-04-2016 21:13,1
41.73,31,61840.26,207.17,User-friendly client-server instruction set,New Michael,1,Singapore,21-06-2016 14:32,0
89.05,38,57868.44,170.13,Synergized clear-thinking protocol,Stewartbury,1,Western Sahara,15-01-2016 19:40,1
56.39,46,54286.1,193.29,Configurable tertiary capability,Richardsonshire,0,Mexico,28-02-2016 23:10,1
39.96,45,59886.58,174.88,Secured 24hour policy,Harmonhaven,0,Rwanda,05-03-2016 12:03,1
59.22,28,53058.91,217.37,Total directional approach,New Brandy,0,Liechtenstein,30-05-2016 18:08,0
47.74,33,68094.85,188.56,Extended context-sensitive monitoring,New Thomas,1,Vanuatu,18-04-2016 15:54,0
86.06,35,73889.99,158.29,De-engineered attitude-oriented projection,South Adamhaven,1,Bolivia,18-03-2016 13:00,0
55.6,30,58677.69,184.88,Proactive context-sensitive project,North Daniel,0,Guinea,06-05-2016 21:07,1
61.22,25,50506.44,194.95,Automated mobile model,West Aprilport,0,Saint Pierre and Miquelon,03-01-2016 07:13,0
60.53,33,68094.85,162.03,Synchronized multi-tasking ability,Johnsontown,0,Indonesia,10-06-2016 11:31,0
90.97,31,38817.4,171.23,Automated mobile model,North Johnside,0,Angola,10-06-2016 03:56,0
41.73,28,71222.4,217.37,Centralized logistical secured line,Hernandezfort,0,Gabon,15-02-2016 16:52,0
74.59,27,36884.23,214.42,Business-focused holistic benchmark,Garciatown,0,Spain,03-07-2016 04:11,0
47.48,29,57545.56,216.49,Mandatory coherent groupware,Christinetown,0,Burundi,16-01-2016 16:40,0
40.47,35,54429.17,236.87,Optional multi-state hardware,Port Cassie,0,Saint Vincent and the Grenadines,21-06-2016 03:14,1
54.88,21,61009.1,157.04,Function-based context-sensitive secured line,South Rebecca,0,Hungary,17-01-2016 15:10,0
82.07,41,57846.68,187.76,Progressive asynchronous adapter,West Lisa,1,Honduras,13-05-2016 11:57,1
59.22,40,40468.53,140.46,Networked responsive application,Port Destiny,0,Denmark,01-07-2016 01:12,1
82.07,22,51363.16,180.47,Profit-focused secondary portal,North Isabellaville,1,Tajikistan,31-05-2016 23:32,0
57.24,33,49101.67,120.75,Compatible composite project,New Taylorburgh,1,Afghanistan,24-03-2016 06:36,1
